step,alpha_s,exponent_inel,exponent_el,scale_inel,scale_el,pT 1.0 GeV,pT 2.0 GeV,pT 3.0 GeV,pT 4.0 GeV,pT 5.0 GeV,pT 6.0 GeV,pT 7.0 GeV,pT 8.0 GeV,pT 9.0 GeV,pT 10.0 GeV
55.0,0.15181818181818182,0.5090909090909088,0.872727272727273,0.1681818181818182,0.2881818181818182,0.9297446703597065,0.9615991887697556,0.7021490609718292,0.6176324993036976,0.577905306930501,0.5564297350131251,0.543969812319212,0.5360359578418942,0.5286735878723104,0.5184158886632739
55.0,0.2554545454545455,0.7999999999999998,0.7999999999999998,0.1190909090909091,0.21181818181818182,0.7914370343287314,0.8761661027131113,0.3067592574289771,0.1978910218733248,0.15676474181455805,0.13692273148089434,0.12603245712941222,0.11911180294957863,0.11280276342052552,0.10480303951891204
55.0,0.11363636363636365,0.6545454545454543,0.581818181818182,0.10272727272727274,0.1681818181818182,0.951154221138839,0.9734590902462692,0.7873087713789128,0.7221459613306146,0.6905654247701756,0.6732186685310647,0.6630777988989283,0.6566270081133738,0.6506293953294107,0.6421414458821411
55.0,0.3590909090909091,1.0909090909090908,1.5999999999999996,0.27181818181818185,0.18454545454545457,0.580129878794008,0.6623249128984322,0.1590953485370338,0.08643625128455643,0.062043624998440315,0.05107571848800233,0.04532007260038792,0.04169683535209337,0.038332775120803644,0.034101552702335405
55.0,0.1790909090909091,-0.21818181818181825,-1.6,0.3209090909090909,0.2554545454545455,0.8311784888722038,0.8718749785539167,0.5518085349552301,0.45806394914158904,0.4162319208471037,0.39446816258856904,0.3822749120428892,0.3746941049077842,0.3674750400206722,0.3569773359894884
55.0,0.31000000000000005,-0.8727272727272728,1.9636363636363638,0.13,0.3209090909090909,0.7834469718905093,0.8732998826069053,0.28139254010490805,0.17493534533994576,0.13555780871836323,0.11672948969020955,0.10642798258870366,0.0998802413565542,0.09393132941231841,0.08645524870199212
55.0,0.33181818181818185,-0.8,-1.6727272727272728,0.3481818181818182,0.3590909090909091,0.36464435799990375,0.4352226493076508,0.05615273844631304,0.021760289559904507,0.012469157804010386,0.008841826534622451,0.007089909797064047,0.005984254475250201,0.0049707680816211035,0.0038707950093461534
55.0,0.22272727272727275,-0.4363636363636365,-0.8727272727272728,0.21727272727272728,0.16272727272727272,0.8310981510122036,0.891181392199349,0.44579999167639356,0.3351657267158672,0.2887289216718946,0.265113111487684,0.25185564147953304,0.24345138613620243,0.23566259447711518,0.22518197097860201
55.0,0.2281818181818182,0.07272727272727231,-0.5090909090909093,0.33181818181818185,0.3754545454545455,0.767839131359942,0.8223871546555329,0.41709125388838264,0.31624403725128436,0.2742240776459893,0.25311946353651904,0.24147218450891142,0.2341873331842814,0.22729044019198913,0.2176619589405475
55.0,0.21727272727272728,0.290909090909091,0.4363636363636365,0.24454545454545457,0.27181818181818185,0.8427356057892922,0.8963971143152141,0.49041204571732083,0.38344403340236116,0.33761940886855546,0.3141166905077266,0.30089148971224733,0.292520234391514,0.2847286990546477,0.2741223220719729
55.0,0.13,0.0,-1.5272727272727273,0.28272727272727277,0.2390909090909091,0.9144196575403168,0.9372858781228052,0.7474490040255356,0.681986272846103,0.650686250444718,0.6337919998089881,0.6241535759813949,0.618181100496248,0.61249403178887,0.6039561660650759
55.0,0.2390909090909091,1.5272727272727273,0.7272727272727275,0.3372727272727273,0.33181818181818185,0.8240509737048484,0.8707775451492243,0.511457415363153,0.4119749004714667,0.3686114850392598,0.34627927703774736,0.333778321799562,0.3259470351229252,0.31854928309479,0.30810028362918096
55.0,0.2881818181818182,-0.5818181818181818,0.6545454545454543,0.37,0.31000000000000005,0.7722209062438735,0.8811096213499857,0.2127888986853515,0.11137514591270865,0.07535926462878419,0.05835934780860215,0.04908580911775438,0.04317291172924702,0.037832503444629635,0.03127751251314056
55.0,0.24454545454545457,-1.8909090909090909,-0.4363636363636365,0.2554545454545455,0.32636363636363636,0.7736368404065783,0.8680448015015431,0.25762993929971995,0.15440688692698262,0.1171330181728076,0.09953927879575397,0.08997863457747994,0.08390481018396978,0.07840072105546614,0.07157362604874025
55.0,0.260909090909091,-1.6727272727272728,1.8181818181818183,0.31000000000000005,0.1790909090909091,0.780796532557095,0.9076944248227764,0.17666930620592827,0.08696624552991161,0.05835956307849846,0.045691601327530106,0.03900900013374987,0.03477558600989198,0.03103919383240636,0.026767117129244847
55.0,0.23363636363636367,1.8909090909090907,-1.309090909090909,0.20090909090909093,0.1954545454545455,0.7897221606124019,0.8461455725452182,0.4277822940003557,0.32257386031945856,0.2783265420925489,0.2559137939427607,0.2434446773566112,0.2356147086811827,0.22825756068463937,0.2180668323092772
